ID,タイトル
0004020975,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0004020975,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0004019720,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地・現住地別人口－全国，都道府県，市区町村
0004019720,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地・現住地別人口－全国，都道府県，市区町村
0004019720,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地・現住地別人口－全国，都道府県，市区町村
0004019140,従業地・通学地の不詳補完（従業地・通学地による人口・就業状態等集計に対応） 男女，常住地又は従業地・通学地別人口－全国，都道府県，市区町村
0004019140,従業地・通学地の不詳補完（従業地・通学地による人口・就業状態等集計に対応） 男女，常住地又は従業地・通学地別人口－全国，都道府県，市区町村
0004019140,従業地・通学地の不詳補完（従業地・通学地による人口・就業状態等集計に対応） 男女，常住地又は従業地・通学地別人口－全国，都道府県，市区町村
0004019721,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地（全国［総数］，都道府県，市区町村）別人口－全国，都道府県，市区町村（現住地）
0004019721,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地（全国［総数］，都道府県，市区町村）別人口－全国，都道府県，市区町村（現住地）
0004019721,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地（全国［総数］，都道府県，市区町村）別人口－全国，都道府県，市区町村（現住地）
0004020520,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0004020520,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0004020520,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0000030003,総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（１２２），出生の月（５），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別
0000030004,総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（８６），配偶関係（５），１５歳以上人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別
0000030129,総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（１２２），出生の月（５），人口 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別
0000030131,総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（８６），配偶関係（５），１５歳以上人口 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別
0000030134,男女の別（性別）（３），入居時期・前住地（２１），年齢５歳階級（２０），人口 都道府県・市部・郡部・ＤＩＤ（都道府県）・県庁所在都市・人口３０万以上の市，全域・人口集中地区の別
0000030141,男女の別（性別）（３），年齢５歳階級（１６），労働力状態（１２），１５歳以上人口 都道府県・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別
0000030268,男女の別（性別）（３），世帯の経済構成（１６），普通世帯の１５歳未満人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別
0000030306,都市計画の地域区分（３０），男女別（３）人口総数・１５歳未満の人口・６５歳以上の人口 全国・都道府県（４７）
0000034066,男女（３）、年齢（５歳階級２０Ｃ）、常住地による人口（７）、人口 （常住）全国・都道府県・市区町村
0000034067,男女（３）、年齢（５歳階級２０Ｃ）、常住地による人口（４区分Ｂ）、１５歳以上就業者数 （常住）全国・都道府県・市区町村
0000034068,男女（３）、年齢（５歳階級２０Ｃ）、従業地・通学地による人口（３A）、人口 （従通）全国・都道府県・市区町村
0000034069,男女（３）、年齢（５歳階級２０Ｃ）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従通）全国・都道府県・市区町村
0000034070,有配偶の女性就業者（３）、常住地による人口（７）、人口 （常住）全国・都道府県・市区町村
0000034071,有配偶の女性就業者（３）、常住地による人口（４区分Ｂ）、１５歳以上就業者数 （常住）全国・都道府県・市区町村
0000034072,有配偶の女性就業者（３）、従業地・通学地による人口（３A）、人口 （従通）全国・都道府県・市区町村
0000034073,有配偶の女性就業者（３）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従通）全国・都道府県・市区町村
0000034085,配偶関係（４）、男女（３）、１５歳以上年齢（５歳階級１９）、常住地による人口（５）、１５歳以上就業者数 （常住）全国・都道府県・人口１０万以上の市
0000034086,配偶関係（４）、男女（３）、１５歳以上年齢（５歳階級１９）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従通）全国・都道府県・人口１０万以上の市
0000034087,男女（３）、産業（大分類）、常住地による人口（５）、１５歳以上就業者数 （常住）全国・都道府県・市区町村
0000034088,男女（３）、産業（大分類）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従通）全国・都道府県・市区町村
0000033782,人口、平成１２年組替人口、人口増減数、人口増減率、面積、人口密度 都道府県・市部・郡部・支庁・市区町村、全域・人口集中地区（００～１０）の別
0000033803,国籍（２区分）、１５歳以上年齢（各歳）、男女（２区分）・配偶関係（４区分）、１５歳以上人口 都道府県・市部・郡部・１５大都市・人口２０万以上の市・県庁所在市・区、全域・人口集中地区の別
0000033805,国籍（２区分）、１５歳以上年齢（５歳階級）、男女（２区分）・配偶関係（４区分）、１５歳以上人口 北海道の支庁・人口２０万未満の市町村、全域・人口集中地区の別
0000033638,年齢（５歳階級）、男女（２区分）、人口、都道府県（４７）・都道府県市部・１５大都市・人口５０万以上の市区・人口２０万以上の市
0000033641,年齢（５歳階級）、男女（２区分）、人口（日本人）、都道府県（４７）・都道府県市部・１５大都市・人口５０万以上の市区・人口２０万以上の市
0000033689,男女（２区分）、産業（大分類B）、常住地による人口（６区分）、人口、全国・都道府県（４７）・１５大都市・人口５０万以上の市区
0000033690,男女（２区分）、産業（大分類B）、従業地・通学地による人口（４区分）、人口、全国・都道府県（４７）・１５大都市・人口５０万以上の市区
0000033693,人口、平成１２年組替人口、人口増減数、人口増減率、面積、人口密度 全国・全国市部・全国郡部・都道府県（４７）・１５大都市、全域・人口集中地区の別
0000033945,男女（２区分）、１５歳以上年齢（各歳）、労働力状態（８区分）、１５歳以上人口 都道府県・人口５０万以上の市区、全域・人口集中地区の別
0000032804,人口・性比・人口密度・平７年組替人口・人口増加数・人口増加率・人口の割合・世帯数・平７年組替世帯数、全国・市部・郡部・都道府県（４７）
0000032805,人口・性比・平７年組替人口・人口増加数・人口増加率・世帯数、都道府県（４７）・市部・郡部・支庁・郡・市区町村
0000032807,国籍（２）、年齢５歳階級（２８）、男女（３）、人口（年齢不詳を含む） 都道府県・都道府県市部・１３大都市・人口２０万以上の市（１０７）・人口５０万以上の区（７）
0000032859,産業（大分類１６）、常住地による人口（７）、常住地による人口及び１５歳以上就業者数 全国・都道府県・１３大都市・人口５０万以上の市区（３０）
0000032860,産業（大分類１６）、従業地・通学地による人口（４）、常住地による人口及び１５歳以上就業者数 全国・都道府県・１３大都市・人口５０万以上の市区（３０）
0000032863,利用交通手段（１９）、常住地による人口（５）、１５歳以上自宅外就業者・通学者数 全国・都道府県・１３大都市・人口５０万以上の市区（３０）
0000032864,利用交通手段（１９）、従業地・通学地による人口（４）、１５歳以上自宅外就業者・通学者数 全国・都道府県・１３大都市・人口５０万以上の市区（３０）
0000032872,人口・平７組替人口・人口増減数・人口増減率・面積・１平方キロメートル当たり人口密度 全国・市部・郡部・都道府県・１３大都市・ＤＩＤ（全国・市部・郡部）、全域・人口集中地区の別
0000032876,国籍（２）、男女（３）、年齢（５）、人口・年齢別割合 全国・市部・郡部・都道府県・１３大都市・ＤＩＤ（全国・市部・郡部）、全域・人口集中地区の別
0000032962,人口・平７組替人口・人口増減数・人口増減率・面積・１平方キロメートル当たり人口密度 市区町村、全域・人口集中地区（００～１０）の別
0000032966,国籍（２）、男女（３）、年齢（５）、人口・年齢別割合 市区町村、全域・人口集中地区の別
0000032968,国籍（２）、男女（３）、年齢各歳階級（１２２）、出生の月（５）、人口（年齢不詳を除く） 都道府県・市部・郡部・１３大都市・人口２０万以上の市・県庁所在市・区、全域・人口集中地区の別
0000032969,国籍（２）、男女（３）、年齢５歳階級（２２）、出生の月（５）、人口（年齢不詳を除く）、北海道の支庁（１４）・人口２０万未満の市町村、全域・人口集中地区の別 北海道の支庁（１４）・人口２０万未満の市町村、全域・人口集中地区の別
0000032970,国籍（２）、男女（３）、１５歳以上年齢（各歳１０７）、配偶関係（５）、１５歳以上人口 都道府県・市部・郡部・１３大都市・人口２０万以上の市・県庁所在市・区、全域・人口集中地区の別
0000032971,国籍（２）、男女（３）、１５歳以上年齢（５歳階級２２Ａ）、配偶関係（５）、１５歳以上人口、北海道の支庁（１４）・人口２０万未満の市町村、全域・人口集中地区の別 北海道の支庁（１４）・人口２０万未満の市町村、全域・人口集中地区の別
0000032996,男女（３）、年齢（５歳階級２２Ｄ）、世帯主との続き柄（１３）、２人以上の一般世帯人員 人口20万以上の市、区（人口50万以上の市区を除く）・県庁所在市、全域・人口集中地区の別
0000033014,住宅の建て方（８）、延べ面積（１５）、住宅に住む主世帯数・世帯人員 人口２０万以上の市、区（人口５０万以上の市区を除く）・県庁所在市、全域・人口集中地区の別
0000033016,世帯の家族類型（２１）、住宅の所有の関係（７）、住宅に住む一般世帯数・世帯人員 人口２０万以上の市、区（人口５０万以上の市区を除く）・県庁所在市、全域・人口集中地区の別
0000033133,男女（３）、１５歳以上年齢各歳階級（９０）、労働力状態（１２）、１５歳以上人口 都道府県・市部・郡部・１３大都市・人口５０万以上の市区（３０）、全域・人口集中地区の別
0000033151,配偶関係（５）、男女（３）、１５歳以上年齢（５歳階級１６）、在学か否かの別・最終卒業学校の種類（８）、１５歳以上人口 都道府県・市部・郡部・１３大都市・人口５０万以上の市区（３０）、全域・人口集中地区の別
0000033309,都市計画の地域区分（２５区分）、男女（２区分Ｂ）、人口 都道府県・人口１万以上の市区
0000033330,配偶関係（４区分）、男女（２区分Ａ）、１５歳以上年齢（各歳）、子との同居・非同居（３区分）、１５歳以上人口 都道府県・都道府県市部・都道府県郡部・１３大都市・人口５０万以上の市区、全域・人口集中地区の別
0000033331,配偶関係（４区分）、男女（２区分Ａ）、年齢（各歳）、親との同居・非同居（３区分）、人口 都道府県・都道府県市部・都道府県郡部・１３大都市・人口５０万以上の市区、全域・人口集中地区の別
0000033332,男女（３）、年齢（５歳階級２０Ｃ）、常住地による人口（７）、人口 （常住地）全国・都道府県・市区町村
0000033333,男女（３）、年齢（５歳階級２０Ｃ）、常住地による人口（４Ｂ）、１５歳以上就業者数 （常住地）全国・都道府県・市区町村
0000033334,男女（３）、年齢（５歳階級２０Ｃ）、従業地・通学地による人口（３A）、人口 （従業地）全国・都道府県・市区町村
0000033335,男女（３）、年齢（５歳階級２０Ｃ）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従業地）全国・都道府県・市区町村
0000033336,有配偶の女性就業者（３）、常住地による人口（７）、人口 （常住地）全国・都道府県・市区町村
0000033337,有配偶の女性就業者（３）、常住地による人口（４Ｂ）、１５歳以上就業者数 （常住地）全国・都道府県・市区町村
0000033338,有配偶の女性就業者（３）、従業地・通学地による人口（３A）、人口 （従業地）全国・都道府県・市区町村
0000033339,有配偶の女性就業者（３）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従業地）全国・都道府県・市区町村
0000033351,配偶関係（４）、男女（３）、１５歳以上年齢（５歳階級１９）、常住地による人口（５）、１５歳以上就業者数 （常住地）全国・人口１０万以上の市
0000033352,配偶関係（４）、男女（３）、１５歳以上年齢（５歳階級１９）、従業地・通学地による人口（３B）、１５歳以上就業者数 （常住地）全国・人口１０万以上の市
0000033353,産業（大分類１５）、常住地による人口（５）、１５歳以上就業者数 （常住地）全国・都道府県・市区町村
0000033354,産業（大分類１５）、従業地・通学地による人口（３B）、１５歳以上就業者数 （常住地）全国・都道府県・市区町村
0000033360,利用交通手段（３１）、常住地による人口（４Ａ）、１５歳以上自宅外就業者・通学者数 （常住地）全国・都道府県
0000033361,利用交通手段（３１）、従業地・通学地による人口（３B）、１５歳以上自宅外就業者・通学者数 （常住地）全国・都道府県
0000033362,利用交通手段（１９）、常住地による人口（４Ａ）、１５歳以上自宅外就業者・通学者数 （常住地）市区町村
0000033363,利用交通手段（１９）、従業地・通学地による人口（３B）、１５歳以上自宅外就業者・通学者数 （従業地）市区町村
0000033364,利用交通手段（９）、常住地による人口（４Ａ）、１５歳以上自宅外就業者・通学者数 （常住地）全国・都道府県・市区町村
0000033365,利用交通手段（９）、従業地・通学地による人口（３B）、１５歳以上自宅外就業者・通学者数 （従業地）全国・都道府県・市区町村
0000033389,男女（３）、現住都道府県による５年前の常住地Ａ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 全国
0000033390,男女（３）、現住都道府県による５年前の常住地Ｂ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住地）１３大都市のある都道府県
0000033391,男女（３）、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住地）１３大都市のある都道府県、５年前の常住都道府県、人口５０万以上の市区
0000033392,男女（３）、現住都道府県による５年前の常住地Ｃ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住地）１３大都市のない県
0000033393,男女（３）、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住地）１３大都市のない県、５年前の常住都道府県、人口５０万以上の市区
0000033394,男女（３）、現住都道府県による５年前の常住地Ｄ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住地）１３大都市
0000033395,男女（３）、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住地）１３大都市、５年前の常住都道府県、人口５０万以上の市区
0000033396,男女（３）、現住都道府県による５年前の常住地Ｅ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住）人口５０万以上市
0000033397,男女（３）、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住）人口５０万以上市、５年前の常住都道府県、人口５０万以上の市区
0000033398,男女（３）、現住都道府県による５年前の常住地Ｆ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住）人口５０万以上区
0000033399,男女（３）、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （現住）人口５０万以上区、５年前の常住都道府県、人口５０万以上の市区
0000033400,男女（３）、５年前の常住都道府県による現住地Ａ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （５年前）１３大都市のある都道府県
0000033401,男女（３）、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （５年前）１３大都市のある都道府県、現住都道府県、人口５０万以上の市区
0000033402,男女（３）、５年前の常住都道府県による現住地Ｂ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （５年前）１３大都市のない県
0000033403,男女（３）、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （５年前）１３大都市のない県、現住都道府県、人口５０万以上の市区
0000033404,男女（３）、５年前の常住都道府県による現住地Ｃ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （５年前）１３大都市
0000033405,男女（３）、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （５年前）１３大都市、現住都道府県、人口５０万以上の市区
0000033406,男女（３）、５年前の常住都道府県による現住地Ｄ、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （５年前）人口５０万以上市
0000033407,男女（３）、５歳以上年齢（５歳階級Ａ）、５歳以上人口 （５年前）人口５０万以上市、現住都道府県、人口５０万以上の市区
